timestamp,disk_r_s,disk_w_s,disk_rkB_s,disk_wkB_s,disk_r_await_ms,disk_w_await_ms,disk_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_free_mb,gpu_util_pct,dcgmi_power_w,dcgmi_gpu_util_pct,dcgmi_nvlink_tx_mbs,dcgmi_nvlink_rx_mbs,dcgmi_pcie_tx_mbs,dcgmi_pcie_rx_mbs
2026-05-02T01:24:47,,,,,,,,3805.0,46068.0,41684.0,76.0,12.6,1.2,68.5,0.2,0.1,28392570.2
2026-05-02T01:24:49,,,,,,,,3805.0,46068.0,41684.0,76.0,12.6,1.2,63.3,0.2,0.1,25942535.0
2026-05-02T01:24:50,,,,,,,,3805.0,46068.0,41684.0,77.0,12.6,1.2,74.1,0.2,0.1,26004744.4
2026-05-02T01:24:51,,,,,,,,3805.0,46068.0,41684.0,76.0,12.6,1.2,67.7,0.0,0.0,4961242.0
2026-05-02T01:24:53,,,,,,,,3805.0,46068.0,41684.0,23.0,12.6,1.2,67.3,0.1,0.1,15335769.8
2026-05-02T01:24:54,,,,,,,,3805.0,46068.0,41684.0,56.0,8.6,1.2,68.6,0.2,0.1,26175200.0
2026-05-02T01:24:56,,,,,,,,3805.0,46068.0,41684.0,54.0,8.8,1.2,65.2,0.2,0.1,25713754.0
2026-05-02T01:24:57,,,,,,,,3805.0,46068.0,41684.0,59.0,9.0,1.2,62.8,0.2,0.1,26648708.2
2026-05-02T01:24:59,,,,,,,,3805.0,46068.0,41684.0,76.0,9.8,1.2,67.7,0.1,0.1,26327424.4
2026-05-02T01:25:00,,,,,,,,3805.0,46068.0,41684.0,76.0,12.8,1.2,69.0,0.2,0.1,26623987.6
2026-05-02T01:25:02,,,,,,,,3805.0,46068.0,41684.0,68.0,9.8,1.2,65.9,0.0,0.0,4643836.8
2026-05-02T01:25:03,,,,,,,,3805.0,46068.0,41684.0,76.0,12.6,1.2,71.7,0.2,0.1,25395021.0
2026-05-02T01:25:05,,,,,,,,3805.0,46068.0,41684.0,14.0,2.4,1.2,62.4,0.2,0.1,25246691.0
2026-05-02T01:25:06,,,,,,,,3805.0,46068.0,41684.0,78.0,13.0,1.2,66.9,0.2,0.1,26454489.4
2026-05-02T01:25:07,,,,,,,,3805.0,46068.0,41684.0,70.0,12.8,1.2,69.0,0.1,0.1,23939097.2
2026-05-02T01:25:09,,,,,,,,3805.0,46068.0,41684.0,69.0,12.8,1.2,68.3,0.1,0.1,22399332.2
2026-05-02T01:25:10,,,,,,,,3805.0,46068.0,41684.0,76.0,12.6,1.2,64.1,0.2,0.1,25924403.0
2026-05-02T01:25:12,,,,,,,,3805.0,46068.0,41684.0,60.0,3.2,1.2,63.0,0.1,0.1,26007272.6
2026-05-02T01:25:13,,,,,,,,3805.0,46068.0,41684.0,76.0,12.8,1.2,64.3,0.2,0.1,25843850.6
2026-05-02T01:25:15,,,,,,,,3805.0,46068.0,41684.0,8.0,1.0,1.2,64.1,0.1,0.1,24314587.0
2026-05-02T01:25:16,,,,,,,,3805.0,46068.0,41684.0,76.0,12.6,1.2,73.5,0.2,0.1,25589057.8
2026-05-02T01:25:18,,,,,,,,3805.0,46068.0,41684.0,77.0,2.0,1.2,68.6,0.2,0.1,25390784.6
